ccode,year,x
2,2000,0.2597402597402597
20,2000,0.6428571428571429
31,2000,0.7662337662337663
40,2000,0.8571428571428571
41,2000,0.6298701298701299
42,2000,0.7857142857142857
51,2000,0.7402597402597403
52,2000,0.564935064935065
53,2000,0.7467532467532467
54,2000,0.2597402597402597
55,2000,0.7012987012987013
56,2000,0.7142857142857143
57,2000,0.3181818181818182
58,2000,0.7272727272727273
60,2000,0.23376623376623376
70,2000,0.7467532467532467
80,2000,0.6818181818181818
90,2000,0.6493506493506493
91,2000,0.6688311688311688
92,2000,0.7337662337662337
93,2000,0.6428571428571429
94,2000,0.7272727272727273
95,2000,0.7337662337662337
100,2000,0.8181818181818182
101,2000,0.8181818181818182
110,2000,0.7272727272727273
115,2000,0.42207792207792205
130,2000,0.8246753246753247
135,2000,0.6753246753246753
140,2000,0.8051948051948052
145,2000,0.8376623376623377
150,2000,0.7012987012987013
155,2000,0.7727272727272727
160,2000,0.7207792207792207
165,2000,0.7532467532467533
200,2000,0.538961038961039
205,2000,0.7142857142857143
210,2000,0.5454545454545454
211,2000,0.6038961038961039
212,2000,0.5454545454545454
220,2000,0.5194805194805194
221,2000,0.5324675324675324
223,2000,0.6493506493506493
225,2000,0.1038961038961039
230,2000,0.6753246753246753
232,2000,0.6038961038961039
235,2000,0.5714285714285714
255,2000,0.5454545454545454
265,2000,0
290,2000,0.5584415584415584
305,2000,0.6168831168831169
310,2000,0.5454545454545454
315,2000,0
316,2000,0.6428571428571429
317,2000,0.5909090909090909
325,2000,0.6298701298701299
331,2000,0.5714285714285714
338,2000,0.6038961038961039
339,2000,0.2597402597402597
341,2000,0
343,2000,0.6363636363636364
344,2000,0.7012987012987013
345,2000,0.28350515463917525
346,2000,0.38961038961038963
349,2000,0.6818181818181818
350,2000,0.5584415584415584
352,2000,0.7207792207792207
355,2000,0.6818181818181818
359,2000,0.5526315789473685
360,2000,0.5584415584415584
365,2000,0.7012987012987013
366,2000,0.6103896103896104
367,2000,0.6298701298701299
368,2000,0.5454545454545454
369,2000,0.7077922077922078
370,2000,0.7727272727272727
371,2000,0.7272727272727273
372,2000,0.564935064935065
373,2000,0.7337662337662337
375,2000,0.551948051948052
380,2000,0.6818181818181818
385,2000,0.5714285714285714
390,2000,0.6558441558441559
395,2000,0.551948051948052
402,2000,0.7727272727272727
403,2000,0.14285714285714285
404,2000,0
411,2000,0.3116883116883117
420,2000,0.45454545454545453
432,2000,0.6818181818181818
433,2000,0.7402597402597403
434,2000,0.7077922077922078
435,2000,0.44155844155844154
436,2000,0.012987012987012988
437,2000,0.7402597402597403
438,2000,0.7012987012987013
439,2000,0.8311688311688312
450,2000,0.11688311688311688
451,2000,0.6493506493506493
452,2000,0.7532467532467533
461,2000,0.8441558441558441
471,2000,0.7207792207792207
475,2000,0.7402597402597403
481,2000,0.7012987012987013
482,2000,0.12987012987012986
483,2000,0.5974025974025974
484,2000,0.3051948051948052
490,2000,0.2922077922077922
500,2000,0.7662337662337663
501,2000,0.8246753246753247
510,2000,0.8636363636363636
511,2000,0
516,2000,0.7792207792207793
517,2000,0.15584415584415584
520,2000,0.1038961038961039
522,2000,0.8441558441558441
530,2000,0.8506493506493507
531,2000,0.7987012987012987
540,2000,0.5844155844155844
541,2000,0.7077922077922078
